team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,department_finishing ,actual_productivity,day,quarter_num,department,idle_time?,idle_men?
9,0.75,3.94,0.0,960,0,0.0,0,0,8,0,0.755166667,Wednesday,1,finishing,False,False
7,0.65,30.1,909.0,7080,0,0.0,0,1,59,0,0.5356779660000001,Thursday,2,sweing,False,False
3,0.8,4.15,0.0,1440,0,0.0,0,0,7,1,0.8208333329999999,Wednesday,2,finishing,False,False
1,0.65,22.53,762.0,5040,0,0.0,0,1,42,0,0.581130952,Wednesday,4,sweing,False,False
4,0.7,30.1,767.0,3300,50,0.0,0,1,57,0,0.7900032359999999,Monday,2,sweing,False,False
3,0.75,4.15,0.0,1920,0,0.0,0,0,8,1,0.875390625,Monday,1,finishing,False,False
3,0.8,19.87,924.0,9900,50,0.0,0,0,55,0,0.8002738290000001,Wednesday,1,sweing,False,False
6,0.7,2.9,0.0,960,0,0.0,0,0,8,0,0.9425,Thursday,1,finishing,False,False
9,0.8,22.52,1086.0,6960,50,0.0,0,0,58,0,0.7999632179999999,Wednesday,1,sweing,False,False
12,0.8,15.26,900.0,4080,50,0.0,0,0,34,0,0.8004019609999999,Tuesday,2,sweing,False,False
3,0.8,4.6,0.0,6300,0,0.0,0,0,15,0,0.921703704,Saturday,4,finishing,False,False
8,0.75,29.4,534.0,6840,56,0.0,0,0,57,0,0.750473684,Tuesday,1,sweing,False,False
7,0.35,22.94,1450.0,10080,30,0.0,0,0,56,0,0.400332792,Tuesday,3,sweing,False,False
12,0.8,15.26,854.0,4080,50,0.0,0,0,34,0,0.8004019609999999,Wednesday,2,sweing,False,False
9,0.8,29.12,1069.0,6960,50,0.0,0,0,58,0,0.7999632179999999,Thursday,1,sweing,False,False
8,0.8,2.9,0.0,4800,0,0.0,0,0,8,1,0.397743056,Thursday,4,finishing,False,False
12,0.8,15.26,1021.0,4080,63,0.0,0,0,34,0,0.8004019609999999,Saturday,1,sweing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.681060606,Tuesday,1,finishing,False,False
4,0.7,30.1,667.0,5940,40,0.0,0,1,60,0,0.7005884059999999,Wednesday,2,sweing,False,False
2,0.65,16.1,626.0,4200,0,0.0,0,1,45,0,0.65024031,Saturday,1,sweing,False,False
11,0.8,11.41,968.0,3660,50,0.0,0,0,31,0,0.8005704920000001,Thursday,1,sweing,False,False
7,0.7,4.15,0.0,1800,0,0.0,0,0,15,0,0.258,Monday,3,finishing,False,False
4,0.8,22.52,1472.0,7020,60,0.0,0,0,59,0,0.85011396,Sunday,1,sweing,False,False
5,0.7,4.15,0.0,1440,0,0.0,0,0,8,1,1.033570076,Tuesday,3,finishing,False,False
6,0.8,11.61,1009.0,5640,63,0.0,0,0,32,0,0.800537143,Saturday,4,sweing,False,False
1,0.8,22.52,1498.0,0,113,0.0,0,0,57,0,1.000065789,Wednesday,2,sweing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.606912879,Thursday,3,finishing,False,False
3,0.8,29.4,983.0,6840,63,0.0,0,1,57,0,0.800578947,Saturday,1,sweing,False,False
10,0.8,22.52,1282.0,6720,75,0.0,0,0,56,0,0.850532143,Sunday,1,sweing,False,False
6,0.8,11.61,972.0,5670,38,0.0,0,0,32,0,0.8002467529999999,Wednesday,2,sweing,False,False
10,0.7,2.9,0.0,1800,0,0.0,0,0,15,0,0.902222222,Tuesday,4,finishing,False,False
12,0.8,26.87,585.0,5670,56,0.0,0,0,32,0,0.662255892,Sunday,3,sweing,False,False
10,0.75,28.08,1209.0,10530,45,0.0,0,0,59,0,0.750545455,Tuesday,1,sweing,False,False
6,0.8,11.61,712.0,7200,50,0.0,0,0,32,0,0.8002460109999999,Monday,1,sweing,False,False
3,0.5,5.13,0.0,1800,0,0.0,0,0,15,0,0.7866,Tuesday,3,finishing,False,False
10,0.7,21.25,1834.0,6360,0,0.0,0,1,53,0,0.471108491,Tuesday,4,sweing,False,False
7,0.65,30.48,935.0,6840,26,0.0,0,1,57,0,0.650596491,Wednesday,2,sweing,False,False
9,0.8,26.16,1128.0,10620,63,0.0,0,0,59,0,0.8001171029999999,Saturday,3,sweing,False,False
10,0.8,3.94,0.0,1440,0,0.0,0,0,8,1,0.846950758,Saturday,2,finishing,False,False
7,0.7,5.13,0.0,960,0,0.0,0,0,8,0,0.671875,Wednesday,3,finishing,False,False
3,0.8,29.4,1231.0,4680,50,0.0,0,0,57,0,0.800149813,Monday,1,sweing,False,False
9,0.75,2.9,0.0,960,0,0.0,0,0,8,0,0.4078125,Thursday,4,finishing,False,False
1,0.8,3.94,0.0,1440,0,0.0,0,0,12,0,0.664875,Thursday,2,finishing,False,False
2,0.75,22.52,1635.0,6840,119,0.0,0,0,57,0,1.000230409,Tuesday,4,sweing,False,False
6,0.8,2.9,0.0,960,0,0.0,0,0,8,0,0.483333333,Saturday,2,finishing,False,False
9,0.8,3.94,0.0,1440,0,0.0,0,0,8,1,0.8581439390000001,Monday,2,finishing,False,False
12,0.8,11.61,1039.0,5670,63,0.0,0,0,32,0,0.8002467529999999,Saturday,3,sweing,False,False
12,0.8,4.6,0.0,0,1080,0.0,0,0,9,0,0.902962963,Monday,2,finishing,False,False
1,0.75,3.94,0.0,960,0,0.0,0,0,8,1,0.8865,Thursday,1,finishing,False,False
2,0.8,3.94,0.0,960,0,0.0,0,0,8,0,1.108125,Sunday,3,finishing,False,False
11,0.5,20.1,1413.0,5880,46,0.0,0,0,54,0,0.5005673079999999,Wednesday,4,sweing,False,False
4,0.75,3.94,0.0,1920,0,0.0,0,0,8,0,0.8133090279999999,Wednesday,2,finishing,False,False
8,0.7,29.4,847.0,6960,30,0.0,0,1,58,0,0.7003620690000001,Wednesday,4,sweing,False,False
3,0.8,4.15,0.0,1620,0,0.0,0,0,9,1,0.901262626,Tuesday,2,finishing,False,False
6,0.7,2.9,0.0,960,0,0.0,0,0,8,0,0.531666667,Wednesday,1,finishing,False,False
6,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.8174242420000001,Monday,2,finishing,False,False
4,0.75,30.1,849.0,7020,45,0.0,0,1,58,0,0.750356125,Tuesday,3,sweing,False,False
9,0.75,2.9,0.0,1800,0,0.0,0,0,15,0,0.821666667,Tuesday,2,finishing,False,False
8,0.8,25.9,1292.0,10170,50,0.0,0,0,57,0,0.800128721,Saturday,3,sweing,False,False
5,0.7,27.48,230.0,6960,40,0.0,0,0,58,0,0.7004241379999999,Thursday,1,sweing,False,False
6,0.8,11.41,986.0,5490,50,0.0,0,0,31,0,0.8003437659999999,Wednesday,1,sweing,False,False
5,0.7,4.15,0.0,9000,0,0.0,0,0,15,1,0.742901235,Thursday,4,finishing,False,False
9,0.7,29.12,1143.0,10440,40,0.0,0,0,58,0,0.70061442,Monday,4,sweing,False,False
1,0.8,26.16,1179.0,10620,75,0.0,0,0,59,0,0.850502311,Wednesday,1,sweing,False,False
9,0.7,29.12,1294.0,6960,50,0.0,0,0,58,0,0.700386207,Tuesday,4,sweing,False,False
7,0.8,25.9,1066.0,10170,50,0.0,0,0,57,0,0.800128721,Wednesday,1,sweing,False,False
2,0.8,22.52,1413.0,360,70,0.0,0,0,57,0,0.900477825,Monday,2,sweing,False,False
11,0.8,2.9,0.0,960,0,0.0,0,0,8,0,0.657083333,Saturday,1,finishing,False,False
7,0.8,25.9,1031.0,10170,60,0.0,0,0,57,0,0.850136766,Monday,2,sweing,False,False
4,0.75,26.82,1054.0,7080,45,0.0,0,0,59,0,0.750050847,Wednesday,2,sweing,False,False
7,0.8,25.9,1281.0,10170,60,0.0,0,0,57,0,0.850136766,Thursday,3,sweing,False,False
7,0.7,4.15,0.0,1800,0,0.0,0,0,15,0,0.929277778,Saturday,2,finishing,False,False
9,0.7,18.79,1641.0,6000,40,0.0,0,1,50,0,0.60128,Monday,4,sweing,False,False
7,0.6,3.94,0.0,960,0,0.0,0,0,8,1,0.406354167,Wednesday,4,finishing,False,False
1,0.8,3.94,0.0,1440,0,0.0,0,0,12,0,0.618361111,Wednesday,2,finishing,False,False
8,0.8,26.16,1261.0,7080,50,0.0,0,0,59,0,0.8003186440000001,Saturday,1,sweing,False,False
9,0.75,18.79,1226.0,3480,45,0.0,0,0,51,0,0.749987124,Saturday,1,sweing,False,False
11,0.8,3.94,0.0,2400,0,0.0,0,0,10,1,0.939513889,Monday,1,finishing,False,False
3,0.8,22.52,1350.0,6840,113,0.0,0,0,57,0,1.000230409,Wednesday,4,sweing,False,False
3,0.6,22.52,1140.0,10170,30,0.0,0,0,57,0,0.600291767,Saturday,3,sweing,False,False
2,0.7,3.9,0.0,960,0,0.0,0,0,8,0,0.440375,Wednesday,4,finishing,False,False
12,0.8,15.26,1062.0,4080,50,0.0,0,0,34,0,0.8004019609999999,Tuesday,4,sweing,False,False
3,0.5,30.1,1261.0,6960,30,0.0,0,1,58,0,0.500801724,Saturday,2,sweing,False,False
4,0.7,26.82,1195.0,6960,60,0.0,0,0,58,0,0.800746552,Saturday,1,sweing,False,False
1,0.7,3.94,0.0,960,0,0.0,0,0,8,0,0.812625,Thursday,1,finishing,False,False
11,0.8,2.9,0.0,960,0,0.0,0,0,8,0,0.755208333,Sunday,2,finishing,False,False
12,0.8,11.61,1216.0,6975,50,0.0,0,0,31,0,0.800030199,Sunday,1,sweing,False,False
1,0.8,22.52,1546.0,0,88,0.0,0,0,57,0,0.90047076,Tuesday,2,sweing,False,False
2,0.75,3.94,0.0,960,0,0.0,0,0,8,1,0.755166667,Thursday,1,finishing,False,False
12,0.8,15.26,970.0,4080,63,0.0,0,0,34,0,0.8004019609999999,Monday,2,sweing,False,False
6,0.7,2.9,0.0,960,0,0.0,0,0,8,1,0.495416667,Tuesday,1,finishing,False,False
1,0.65,3.94,0.0,2400,0,0.0,0,0,8,1,0.505128205,Wednesday,3,finishing,False,False
6,0.75,18.79,759.0,3960,34,0.0,0,0,33,0,0.75065101,Wednesday,3,sweing,False,False
3,0.7,22.52,1095.0,10170,50,0.0,0,0,57,0,0.750062751,Monday,3,sweing,False,False
11,0.75,11.61,698.0,3360,34,0.0,0,2,57,0,0.7504372690000001,Tuesday,4,sweing,False,False
4,0.8,3.94,0.0,4440,0,0.0,0,0,18,1,0.966781346,Tuesday,1,finishing,False,False
10,0.75,21.82,1499.0,6000,34,0.0,0,0,50,0,0.7506079999999999,Tuesday,2,sweing,False,False
12,0.75,4.08,0.0,1080,0,0.0,0,0,9,1,0.7555555559999999,Wednesday,4,finishing,False,False
2,0.6,15.28,529.0,1320,0,0.0,0,1,46,0,0.600099145,Thursday,1,sweing,False,False
9,0.8,3.94,0.0,960,0,0.0,0,0,8,0,0.6074166670000001,Sunday,2,finishing,False,False
1,0.8,3.94,0.0,960,0,0.0,0,0,8,1,0.915229167,Sunday,1,finishing,False,False
3,0.75,3.94,0.0,1440,0,0.0,0,0,12,1,0.861875,Tuesday,4,finishing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.735984848,Thursday,2,finishing,False,False
2,0.7,30.33,361.0,3960,30,0.0,0,1,58,0,0.700069811,Wednesday,4,sweing,False,False
2,0.8,3.94,0.0,2160,0,0.0,0,0,18,0,0.8755555559999999,Sunday,2,finishing,False,False
6,0.75,18.79,913.0,3360,45,0.0,0,0,33,0,0.75065101,Tuesday,4,sweing,False,False
12,0.8,11.41,968.0,3660,50,0.0,0,0,31,0,0.8005704920000001,Thursday,1,sweing,False,False
3,0.8,22.52,21266.0,6840,70,0.0,0,0,57,0,0.90014152,Monday,1,sweing,False,False
6,0.5,2.9,0.0,1200,0,0.0,0,0,10,1,0.899,Thursday,5,finishing,False,False
12,0.7,15.26,1337.0,6120,40,0.0,0,0,34,0,0.70043672,Monday,4,sweing,False,False
5,0.75,20.4,1118.0,10320,56,0.0,0,0,58,0,0.750031447,Monday,4,sweing,False,False
12,0.8,11.61,1120.0,5670,50,0.0,0,0,32,0,0.8002467529999999,Wednesday,1,sweing,False,False
11,0.8,11.61,816.0,2820,50,0.0,0,2,57,0,0.800516667,Thursday,4,sweing,False,False
11,0.8,2.9,0.0,960,0,0.0,0,0,8,0,0.758229167,Tuesday,2,finishing,False,False
8,0.7,29.12,1248.0,6840,0,0.0,0,0,57,0,0.700135088,Wednesday,1,sweing,False,False
3,0.8,4.6,0.0,10500,0,0.0,0,0,25,0,0.936355556,Sunday,1,finishing,False,False
2,0.8,3.94,0.0,2160,0,0.0,0,0,18,0,0.966759259,Tuesday,2,finishing,False,False
2,0.8,3.94,0.0,1200,0,0.0,0,0,10,1,0.912766667,Sunday,1,finishing,False,False
8,0.8,25.9,1039.0,6780,45,0.0,0,0,57,0,0.8503451329999999,Sunday,1,sweing,False,False
3,0.8,4.6,0.0,10080,0,0.0,0,0,24,0,0.86037037,Monday,1,finishing,False,False
10,0.7,21.82,1653.0,6240,0,0.0,0,2,52,0,0.700058333,Wednesday,4,sweing,False,False
11,0.7,11.41,1054.0,3420,30,0.0,0,2,56,0,0.700614035,Tuesday,3,sweing,False,False
12,0.8,4.08,0.0,1080,0,0.0,0,0,9,0,0.906666667,Thursday,1,finishing,False,False
3,0.8,4.6,0.0,1920,0,0.0,0,0,8,0,0.786631944,Wednesday,2,finishing,False,False
12,0.8,4.08,0.0,1080,0,0.0,0,0,9,1,0.778222222,Tuesday,1,finishing,False,False
11,0.65,20.1,1417.0,6480,49,0.0,0,0,54,0,0.650148148,Saturday,5,sweing,False,False
1,0.5,26.66,1448.0,6840,30,0.0,0,2,57,0,0.5503497079999999,Saturday,4,sweing,False,False
5,0.7,45.67,884.0,6960,26,0.0,0,0,58,0,0.603432184,Sunday,1,sweing,False,False
7,0.07,24.26,1608.0,6960,0,0.0,0,0,58,0,0.522844828,Thursday,1,sweing,False,False
12,0.8,5.13,0.0,2160,0,0.0,0,0,9,0,0.609583333,Thursday,3,finishing,False,False
11,0.7,20.1,1192.0,6120,75,0.0,0,0,54,0,0.7005089290000001,Sunday,1,sweing,False,False
10,0.8,3.94,0.0,1200,0,0.0,0,0,10,1,0.971866667,Saturday,5,finishing,False,False
7,0.5,4.15,0.0,960,0,0.0,0,0,8,1,0.8035416670000001,Tuesday,4,finishing,False,False
8,0.8,25.9,1218.0,10170,60,0.0,0,0,57,0,0.850136766,Wednesday,2,sweing,False,False
6,0.65,23.41,1262.0,4560,35,0.0,0,1,38,0,0.650962281,Monday,2,sweing,False,False
4,0.75,30.1,919.0,7140,0,0.0,0,1,60,0,0.598627451,Sunday,3,sweing,False,False
4,0.7,26.82,1028.0,6960,60,0.0,0,0,58,0,0.799975862,Wednesday,1,sweing,False,False
12,0.8,11.61,893.0,4710,50,0.0,0,0,32,0,0.800346445,Saturday,2,sweing,False,False
11,0.5,14.89,917.0,9900,30,0.0,0,0,55,0,0.500025069,Thursday,3,sweing,False,False
11,0.6,2.9,0.0,2880,0,0.0,0,0,12,0,0.805555556,Sunday,4,finishing,False,False
8,0.75,4.6,0.0,3360,0,0.0,0,0,8,0,0.376597222,Saturday,4,finishing,False,False
6,0.75,2.9,0.0,1800,0,0.0,0,0,15,0,0.726933333,Tuesday,4,finishing,False,False
7,0.35,30.1,842.0,6960,0,0.0,0,1,58,0,0.350301724,Monday,2,sweing,False,False
4,0.75,22.52,825.0,10080,94,0.0,0,0,56,0,0.9005562770000001,Wednesday,3,sweing,False,False
2,0.75,3.94,0.0,1200,0,0.0,0,0,10,1,0.7879999999999999,Tuesday,4,finishing,False,False
7,0.7,5.13,0.0,1200,0,0.0,0,0,10,0,0.91375,Tuesday,3,finishing,False,False
9,0.75,18.79,1193.0,6240,45,0.0,0,0,52,0,0.750395513,Monday,2,sweing,False,False
4,0.8,28.08,759.0,6900,50,0.0,0,0,58,0,0.800076522,Monday,1,sweing,False,False
9,0.75,2.9,0.0,960,0,0.0,0,0,8,0,0.4470833329999999,Sunday,1,finishing,False,False
5,0.65,30.1,326.0,5820,0,90.0,10,0,59,0,0.6508348079999999,Wednesday,1,sweing,True,True
9,0.7,29.12,1340.0,6960,63,0.0,0,0,58,0,0.7505931029999999,Wednesday,4,sweing,False,False
5,0.8,11.41,668.0,3660,50,0.0,0,0,31,0,0.7070459020000001,Thursday,1,sweing,False,False
1,0.75,3.94,0.0,1200,0,0.0,0,0,10,1,0.77815,Tuesday,4,finishing,False,False
7,0.6,3.94,0.0,6000,0,0.0,0,0,10,1,0.957638889,Thursday,4,finishing,False,False
10,0.7,2.9,0.0,3360,0,0.0,0,0,8,0,0.4108333329999999,Saturday,4,finishing,False,False
2,0.75,19.87,733.0,6000,34,0.0,0,0,55,0,0.753097531,Thursday,1,sweing,False,False
2,0.8,22.52,1452.0,6960,100,0.0,0,0,58,0,0.949981609,Tuesday,1,sweing,False,False
5,0.8,30.1,15.0,1200,49,0.0,0,1,59,0,0.598792339,Wednesday,4,sweing,False,False
11,0.7,10.05,1042.0,6120,60,0.0,0,0,53,0,0.7002788459999999,Wednesday,1,sweing,False,False
2,0.75,3.94,0.0,1800,0,0.0,0,0,10,1,0.910378788,Monday,4,finishing,False,False
4,0.8,30.1,864.0,480,50,0.0,0,1,58,0,0.800980392,Wednesday,3,sweing,False,False
8,0.8,4.6,0.0,3600,0,0.0,0,0,15,0,0.5907407410000001,Saturday,1,finishing,False,False
10,0.8,3.94,0.0,960,0,0.0,0,0,8,0,0.927541667,Tuesday,3,finishing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.681060606,Tuesday,2,finishing,False,False
12,0.8,15.26,1083.0,720,38,0.0,0,0,34,0,0.800612676,Thursday,1,sweing,False,False
11,0.65,4.15,0.0,2160,0,0.0,0,0,12,1,0.8383838379999999,Sunday,3,finishing,False,False
12,0.8,15.26,986.0,4080,75,0.0,0,0,34,0,0.850520588,Saturday,1,sweing,False,False
7,0.6,30.48,1017.0,6840,25,0.0,0,1,57,0,0.630402924,Tuesday,2,sweing,False,False
12,0.8,4.6,0.0,3780,0,0.0,0,0,9,0,0.590617284,Thursday,4,finishing,False,False
4,0.7,30.1,419.0,7080,0,0.0,0,1,59,0,0.637711864,Thursday,2,sweing,False,False
1,0.75,3.94,0.0,2280,0,0.0,0,0,19,1,0.504596491,Monday,1,finishing,False,False
9,0.8,3.94,0.0,960,0,0.0,0,0,8,0,0.549791667,Wednesday,3,finishing,False,False
10,0.7,19.68,1410.0,5760,0,0.0,0,1,48,0,0.2494166669999999,Thursday,3,sweing,False,False
3,0.35,30.1,770.0,6960,0,0.0,0,1,58,0,0.350301724,Thursday,2,sweing,False,False
8,0.8,25.9,1158.0,10170,60,0.0,0,0,57,0,0.850136766,Saturday,2,sweing,False,False
2,0.6,30.33,868.0,6840,0,0.0,0,1,57,0,0.328131579,Wednesday,3,sweing,False,False
10,0.8,22.52,1388.0,6720,88,0.0,0,0,56,0,0.9008,Sunday,2,sweing,False,False
10,0.75,3.94,0.0,1800,0,0.0,0,0,10,1,0.937242424,Saturday,4,finishing,False,False
9,0.75,2.9,0.0,1080,0,0.0,0,0,9,0,0.929074074,Sunday,2,finishing,False,False
12,0.8,11.61,1216.0,4950,50,0.0,0,0,32,0,0.80003139,Thursday,3,sweing,False,False
8,0.65,29.4,962.0,4560,0,4.5,30,2,57,0,0.2513992539999999,Wednesday,3,sweing,True,True
6,0.65,18.79,881.0,3960,26,0.0,0,0,33,0,0.651007071,Sunday,1,sweing,False,False
9,0.8,26.16,1156.0,10620,75,0.0,0,0,59,0,0.850502311,Tuesday,2,sweing,False,False
9,0.8,26.16,1095.0,10620,88,0.0,0,0,59,0,0.9002157159999999,Sunday,2,sweing,False,False
5,0.8,30.1,679.0,7140,0,0.0,0,0,60,0,0.722568627,Sunday,3,sweing,False,False
4,0.65,26.66,832.0,6780,55,0.0,0,0,57,0,0.750254867,Monday,1,sweing,False,False
3,0.75,4.15,0.0,2160,0,0.0,0,0,12,1,0.712626263,Thursday,2,finishing,False,False
6,0.75,18.79,1055.0,3960,45,0.0,0,0,33,0,0.75065101,Sunday,4,sweing,False,False
9,0.75,18.79,935.0,6240,45,0.0,0,0,52,0,0.750395513,Monday,1,sweing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.639867424,Sunday,3,finishing,False,False
3,0.8,19.87,1043.0,6420,0,0.0,0,0,55,0,0.690182815,Sunday,2,sweing,False,False
8,0.75,2.9,0.0,960,0,0.0,0,0,8,1,0.676666667,Thursday,1,finishing,False,False
3,0.75,19.87,734.0,6600,45,0.0,0,0,55,0,0.75024303,Sunday,1,sweing,False,False
10,0.75,28.08,1066.0,10530,69,0.0,0,0,59,0,0.8,Thursday,2,sweing,False,False
5,0.7,4.6,0.0,960,0,0.0,0,0,8,0,0.5920833329999999,Wednesday,1,finishing,False,False
4,0.8,22.52,1016.0,10170,60,0.0,0,0,57,0,0.850312684,Monday,4,sweing,False,False
6,0.5,2.9,0.0,960,0,0.0,0,0,8,0,0.7975,Saturday,1,finishing,False,False
9,0.7,18.79,1603.0,6120,30,0.0,0,1,51,0,0.638614379,Thursday,3,sweing,False,False
7,0.65,23.54,830.0,6600,0,0.0,0,0,55,0,0.4879199999999999,Thursday,5,sweing,False,False
1,0.75,3.94,0.0,1200,0,0.0,0,0,10,1,0.9456,Wednesday,4,finishing,False,False
